File,Access,Account,Alert,Click,Confidential,Fradulent,Indefinite,Information,Notification,Password,Please,Provide,Request,Update,Upgrade,Verb %,Verify,Result
20051114\153.eml,1,5,0,1,0,0,0,1,0,0,2,1,1,0,0,13.91,1,1
20051114\154.eml,0,0,0,2,0,0,0,2,4,2,2,0,4,0,0,22.88,0,1
20051114\155.eml,0,4,0,1,0,0,1,2,0,0,3,2,0,6,0,24.41,0,1
20051114\156.eml,6,14,0,3,0,0,0,3,0,0,4,1,0,1,0,17.61,1,1
20051114\157.eml,1,12,0,1,0,0,0,2,0,1,2,1,2,0,0,17.47,0,1
20051114\158.eml,5,16,0,1,0,1,0,3,1,4,2,1,0,2,0,19.68,1,1
20051114\159.eml,0,4,0,1,0,0,0,2,1,1,1,0,0,3,0,19.61,0,1
20051114\16.eml,1,6,4,0,0,2,0,2,1,0,4,0,2,0,0,21.38,3,1
20051114\160.eml,0,6,0,3,0,0,0,3,1,1,1,1,3,0,0,21.28,0,1
20051114\161.eml,1,10,0,1,0,0,0,1,0,0,2,0,2,0,0,18.6,1,1
20051114\162.eml,0,4,0,0,0,1,0,0,1,1,2,0,0,0,0,24.32,0,1
20051114\163.eml,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,20.59,0,1
20051114\164.eml,0,6,0,0,0,0,0,3,0,1,1,0,0,2,0,22.86,1,1
20051114\165.eml,0,6,0,0,0,0,0,3,0,1,1,0,0,2,0,22.86,1,1
20051114\166.eml,0,4,0,1,0,0,1,8,0,0,3,4,1,0,0,24.59,0,1
20051114\167.eml,5,14,0,1,0,0,0,3,0,0,2,0,0,0,0,20.41,0,1
20051114\168.eml,0,7,0,1,0,0,1,4,0,0,4,2,0,0,0,23.73,0,1
20051114\169.eml,0,6,0,1,0,0,0,1,1,1,0,0,1,0,0,17.24,0,1
20051114\17.eml,0,5,0,1,0,0,0,4,3,0,3,0,1,1,0,25.37,0,1
20051114\170.eml,8,18,0,2,0,1,0,2,0,2,3,1,0,0,0,18.78,0,1
20051114\171.eml,0,1,0,2,0,0,0,1,0,0,2,0,0,0,0,19.61,0,1
20051114\172.eml,0,3,0,0,0,1,0,0,1,1,2,0,0,0,0,21.43,0,1
20051114\173.eml,0,1,0,2,0,0,0,1,0,0,2,0,0,0,0,19.61,0,1
20051114\174.eml,1,6,0,2,0,1,0,7,0,4,3,1,0,5,0,15.94,0,1
20051114\175.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,1
20051114\176.eml,3,0,0,0,0,0,0,7,0,0,1,1,0,1,0,19.63,0,1
20051114\177.eml,6,17,0,2,0,1,0,3,1,4,3,1,0,2,0,20.31,0,1
20051114\178.eml,6,17,0,2,0,1,0,3,1,4,3,1,0,2,0,20.31,0,1
20051114\179.eml,1,6,0,2,0,1,0,6,0,4,3,1,0,4,0,16.79,0,1
20051114\18.eml,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,19.67,0,1
20051114\180.eml,8,12,0,0,0,0,0,2,0,0,2,1,0,0,0,22.22,0,1
20051114\181.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,20.34,0,1
20051114\182.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,20.34,0,1
20051114\183.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,20.34,0,1
20051114\184.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,20.34,0,1
20051114\185.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,20.34,0,1
20051114\186.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,20.34,0,1
20051114\187.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,20.34,0,1
20051114\188.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,20.34,0,1
20051114\189.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,20.34,0,1
20051114\19.eml,0,2,0,1,0,0,0,7,0,0,2,0,0,4,0,24.55,0,1
20051114\190.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,20.34,0,1
20051114\191.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,20.34,0,1
20051114\192.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,20.34,0,1
20051114\193.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,20.34,0,1
20051114\194.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,20.34,0,1
20051114\195.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,20.34,0,1
20051114\196.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,20.34,0,1
20051114\197.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,20.34,0,1
20051114\198.eml,0,7,0,1,0,0,1,3,0,0,3,2,0,0,0,22.88,0,1
20051114\199.eml,2,2,0,0,0,1,0,0,0,2,2,0,0,0,0,20.69,0,1
20051114\2.eml,0,2,0,1,0,0,0,2,0,0,0,0,1,0,0,22.5,0,1
20051114\20.eml,0,3,0,1,0,1,0,1,0,2,4,0,0,5,0,18.56,0,1
20051114\200.eml,0,4,0,0,0,0,1,2,0,0,2,2,0,0,0,21.15,0,1
20051114\201.eml,4,16,0,2,0,0,0,1,0,0,2,0,0,0,0,18.71,1,1
20051114\202.eml,1,6,0,2,0,1,0,6,0,4,3,1,0,4,0,16.67,0,1
20051114\203.eml,5,14,0,1,0,0,0,3,0,0,2,0,0,0,0,20.55,0,1
20051114\204.eml,1,7,0,2,1,1,0,2,1,4,2,1,1,1,0,22.63,0,1
20051114\205.eml,1,6,0,2,0,1,0,6,0,4,3,1,0,4,0,16.79,0,1
20051114\207.eml,1,6,0,2,1,1,0,2,1,4,2,1,1,1,0,20.86,0,1
20051114\208.eml,1,6,0,1,0,2,0,1,1,0,3,0,0,0,0,23.26,3,1
20051114\209.eml,1,6,0,2,1,1,0,2,1,4,2,1,1,1,0,21.01,0,1
20051114\21.eml,4,15,0,1,0,0,0,1,0,0,2,0,0,0,0,20.9,1,1
20051114\210.eml,2,0,0,1,3,1,0,10,0,0,4,4,0,0,0,16.41,0,1
20051114\211.eml,2,0,0,1,3,1,0,10,0,0,4,4,0,0,0,16.41,0,1
20051114\212.eml,0,2,0,1,0,0,0,7,0,0,2,0,0,4,0,24.11,0,1
20051114\213.eml,0,5,0,1,0,2,0,2,0,0,2,1,1,2,0,26.03,0,1
20051114\214.eml,0,5,0,1,0,2,0,2,0,0,2,1,1,2,0,26.03,0,1
20051114\215.eml,6,8,0,0,0,0,0,1,0,0,2,0,0,0,0,18.18,0,1
20051114\217.eml,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.81,0,1
20051114\219.eml,1,5,0,3,0,0,0,3,2,0,1,0,0,3,0,23.26,1,1
20051114\22.eml,4,14,0,2,0,0,0,1,0,0,3,1,0,1,0,14.35,2,1
20051114\220.eml,1,6,0,2,0,0,1,3,3,0,4,2,0,1,0,19.62,0,1
20051114\221.eml,0,3,0,1,0,1,0,3,0,3,3,1,0,5,1,20.97,0,1
20051114\222.eml,1,7,0,2,0,1,0,7,1,4,3,1,0,6,0,16.46,0,1
20051114\223.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1
20051114\224.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1
20051114\225.eml,3,6,0,1,0,0,0,0,0,0,3,1,2,0,0,15.79,1,1
20051114\226.eml,0,2,0,1,0,0,0,1,1,2,1,0,0,1,0,18.11,0,1
20051114\227.eml,1,5,0,3,0,0,0,3,2,0,1,0,0,3,0,23.08,1,1
20051114\229.eml,0,3,0,1,0,1,0,3,0,3,3,1,0,5,1,20.0,0,1
20051114\23.eml,1,6,4,0,0,2,0,2,1,0,4,0,2,0,0,21.62,3,1
20051114\230.eml,8,10,0,0,2,0,0,5,0,0,2,3,0,0,0,21.97,0,1
20051114\231.eml,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,25.58,0,1
20051114\232.eml,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,23.08,0,1
20051114\233.eml,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,23.38,0,1
20051114\234.eml,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,23.08,0,1
20051114\235.eml,0,11,0,3,0,0,0,3,1,0,2,1,3,1,0,19.91,4,1
20051114\236.eml,0,4,0,1,0,0,1,2,0,0,3,2,0,6,0,24.41,0,1
20051114\237.eml,0,0,1,2,0,0,0,2,3,2,2,0,4,0,0,24.29,0,1
20051114\238.eml,0,5,0,0,0,3,0,2,1,0,2,0,0,1,0,23.3,2,1
20051114\239.eml,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,16.67,0,1
20051114\24.eml,0,5,0,1,0,0,0,4,3,0,3,0,1,1,0,25.6,0,1
20051114\240.eml,1,8,0,0,0,0,0,1,0,0,2,0,0,0,0,11.35,0,1
20051114\241.eml,0,5,0,0,0,0,0,2,0,0,2,0,0,5,0,22.5,0,1
20051114\242.eml,0,4,2,0,0,1,0,5,1,0,3,0,0,1,0,21.05,0,1
20051114\243.eml,1,9,0,1,0,0,0,2,0,0,2,1,2,0,0,16.06,1,1
20051114\244.eml,6,8,0,0,2,0,0,5,0,0,2,3,0,0,0,23.62,0,1
20051114\245.eml,0,4,0,0,0,1,0,0,1,1,2,0,0,0,0,25.68,0,1
20051114\246.eml,0,8,0,4,0,0,1,5,1,1,4,2,1,1,0,22.75,0,1
20051114\247.eml,0,2,0,1,0,0,0,7,0,0,2,0,0,4,0,24.11,0,1
20051114\248.eml,0,4,0,1,0,0,1,2,0,0,3,2,0,6,0,24.22,0,1
20051114\249.eml,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.93,0,1
20051114\25.eml,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,19.2,0,1
20051114\250.eml,5,14,0,1,0,0,0,3,0,0,2,0,0,0,0,20.55,0,1
20051114\252.eml,0,6,1,1,0,0,1,2,0,0,3,2,0,8,0,19.5,0,1
20051114\253.eml,1,4,0,1,0,0,0,2,1,0,2,0,0,1,0,21.92,0,1
20051114\254.eml,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.22,0,1
20051114\255.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1
20051114\256.eml,0,3,0,1,0,0,0,4,0,0,0,0,0,4,0,23.46,1,1
20051114\257.eml,1,6,0,2,0,1,0,2,0,3,2,1,1,1,0,19.57,0,1
20051114\258.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1
20051114\259.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1
20051114\26.eml,0,2,0,1,0,0,0,7,0,0,2,0,0,4,0,23.89,0,1
20051114\260.eml,1,3,0,1,0,0,0,5,0,0,2,1,1,2,0,15.13,0,1
20051114\261.eml,6,16,0,2,0,1,0,2,1,2,3,1,0,1,0,20.32,0,1
20051114\262.eml,0,2,0,0,0,0,0,7,0,0,4,0,0,2,0,16.67,2,1
20051114\263.eml,4,16,0,2,0,0,0,1,0,0,2,0,0,0,0,20.29,1,1
20051114\264.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1
20051114\265.eml,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.25,0,1
20051114\266.eml,5,17,0,0,0,1,0,2,0,4,3,2,1,1,0,19.56,1,1
20051114\267.eml,1,4,1,0,0,0,0,1,0,1,2,1,2,0,0,21.77,0,1
20051114\268.eml,0,2,0,1,0,0,0,7,0,0,2,0,0,4,0,23.89,0,1
20051114\269.eml,0,3,0,1,0,1,1,1,1,1,1,0,0,1,0,23.33,0,1
20051114\27.eml,5,15,0,2,0,0,0,1,0,0,3,1,0,1,0,14.83,2,1
20051114\270.eml,7,12,0,0,0,0,0,1,0,0,2,0,0,0,0,21.62,0,1
20051114\271.eml,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18.37,0,1
20051114\272.eml,0,1,0,0,0,0,1,4,0,0,2,2,0,1,0,20.0,0,1
20051114\273.eml,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18.75,0,1
20051114\274.eml,0,5,0,0,0,0,0,1,0,0,2,0,0,0,0,9.76,0,1
20051114\275.eml,0,5,0,0,0,0,0,1,0,0,2,0,0,0,0,9.88,0,1
20051114\276.eml,2,2,0,0,0,1,0,0,0,2,2,0,0,0,0,20.69,0,1
20051114\277.eml,1,7,0,2,0,0,0,9,1,2,2,0,0,4,0,18.52,0,1
20051114\278.eml,5,14,0,1,0,0,0,3,0,0,2,0,0,0,0,20.55,0,1
20051114\279.eml,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,17.72,0,1
20051114\28.eml,4,15,0,1,0,0,0,1,0,0,2,0,0,0,0,20.74,1,1
20051114\280.eml,1,7,0,2,0,0,0,9,1,2,2,0,0,4,0,18.52,0,1
20051114\281.eml,2,2,0,0,0,1,0,0,0,2,2,0,0,0,0,20.69,0,1
20051114\282.eml,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,17.72,0,1
20051114\284.eml,0,1,0,0,0,0,1,2,0,0,2,2,0,1,0,18.75,0,1
20051114\285.eml,1,11,0,1,0,0,0,2,0,1,2,1,2,0,0,18.4,0,1
20051114\286.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29,0,1
20051114\287.eml,0,2,0,0,0,0,0,7,0,0,4,0,0,2,0,16.67,2,1
20051114\288.eml,0,1,0,0,0,0,1,2,0,0,2,2,0,1,0,18.95,0,1
20051114\289.eml,0,2,0,0,0,0,0,7,0,0,4,0,0,2,0,16.87,2,1
20051114\29.eml,0,5,0,1,0,1,2,1,0,0,0,0,1,0,0,13.33,0,1
20051114\290.eml,0,1,0,0,0,0,1,2,0,0,2,2,0,1,0,18.75,0,1
20051114\291.eml,0,1,0,0,0,0,1,2,0,0,2,2,0,1,0,18.75,0,1
20051114\292.eml,1,6,0,2,1,1,0,2,1,4,2,1,1,1,0,21.48,0,1
20051114\293.eml,0,5,0,0,0,3,1,2,0,0,1,2,0,1,0,22.45,1,1
20051114\294.eml,1,5,0,3,0,0,0,3,2,0,1,0,0,3,0,23.48,1,1
20051114\295.eml,1,12,0,0,0,1,0,2,0,6,5,0,1,0,0,17.7,0,1
20051114\296.eml,5,14,0,2,0,1,0,4,1,4,4,1,0,3,0,18.39,0,1
20051114\297.eml,0,2,0,0,0,0,0,7,0,0,4,0,0,2,0,16.67,2,1
20051114\298.eml,0,2,0,0,0,0,0,7,0,0,4,0,0,2,0,16.67,2,1
20051114\299.eml,1,7,0,2,0,0,1,13,0,1,3,3,1,1,0,21.47,0,1
20051114\30.eml,0,2,0,0,0,0,0,7,0,0,2,0,0,4,0,23.42,0,1
20051114\300.eml,0,2,0,2,0,0,0,1,1,0,1,0,2,0,0,25.25,0,1
20051114\301.eml,1,3,0,1,1,0,0,7,0,0,1,0,0,3,0,19.85,0,1
20051114\302.eml,3,8,0,0,0,0,0,2,0,0,2,0,0,0,0,19.15,1,1
20051114\303.eml,0,5,0,0,0,0,0,6,0,0,1,0,0,2,0,13.41,1,1
20051114\304.eml,0,2,0,0,0,0,0,6,0,0,4,0,0,2,0,15.66,1,1
20051114\305.eml,1,10,0,3,0,1,0,2,1,3,5,1,0,9,0,17.32,0,1
20051114\306.eml,0,3,0,0,0,0,0,1,0,1,2,0,0,0,0,18.82,0,1
20051114\307.eml,1,10,0,2,0,1,0,1,1,4,1,1,0,1,0,16.76,0,1
20051114\308.eml,1,10,0,3,0,1,0,2,1,3,5,1,0,9,0,18.54,0,1
20051114\309.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1
20051114\31.eml,0,5,0,1,0,1,2,1,0,0,0,0,1,0,0,11.96,0,1
20051114\310.eml,0,7,0,1,0,0,0,6,1,3,3,0,1,4,0,20.0,1,1
20051114\311.eml,0,5,0,0,0,0,0,2,0,0,2,0,0,5,0,18.82,0,1
20051114\312.eml,1,11,0,1,0,0,0,2,0,1,2,1,2,0,0,18.4,0,1
20051114\313.eml,0,5,0,0,0,3,1,2,0,0,1,2,0,1,0,22.45,1,1
20051114\314.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.59,0,1
20051114\315.eml,4,10,0,2,0,0,0,2,1,0,2,0,0,1,0,16.26,1,1
20051114\316.eml,0,3,0,0,0,0,1,4,0,0,4,3,0,1,0,21.43,0,1
20051114\317.eml,8,10,0,0,2,0,0,5,0,0,2,3,0,0,0,21.97,0,1
20051114\318.eml,8,10,0,0,2,0,0,5,0,0,2,3,0,0,0,22.14,0,1
20051114\319.eml,0,4,0,0,0,1,0,0,0,2,2,0,0,0,0,17.65,0,1
20051114\32.eml,1,9,0,0,0,0,0,1,0,0,2,0,0,0,0,14.22,0,1
20051114\320.eml,0,3,0,0,0,0,1,4,0,0,4,3,0,1,0,21.43,0,1
20051114\321.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42,0,1
20051114\322.eml,1,4,0,1,0,0,0,6,0,0,3,1,1,1,0,15.34,0,1
20051114\323.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.42,0,1
20051114\324.eml,0,4,0,1,0,0,0,1,0,0,2,0,0,7,0,21.31,0,1
20051114\325.eml,1,6,0,2,0,1,0,7,0,4,3,1,0,5,0,16.06,0,1
20051114\326.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1
20051114\328.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1
20051114\329.eml,0,2,0,1,0,0,0,1,0,0,1,1,0,0,0,23.21,0,1
20051114\33.eml,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,10.53,0,1
20051114\330.eml,0,3,0,0,0,0,0,3,0,0,2,0,0,0,0,19.61,0,1
20051114\331.eml,0,5,0,1,0,2,0,2,0,0,2,1,1,2,0,24.67,0,1
20051114\332.eml,0,5,0,1,0,2,0,2,0,0,2,1,1,2,0,24.67,0,1
20051114\333.eml,0,5,0,1,0,2,0,2,0,0,2,1,1,2,0,24.67,0,1
20051114\334.eml,0,5,0,1,0,2,0,2,0,0,2,1,1,2,0,24.67,0,1
20051114\335.eml,0,5,0,1,0,2,0,2,0,0,2,1,1,2,0,24.67,0,1
20051114\336.eml,0,5,0,1,0,2,0,2,0,0,2,1,1,2,0,24.67,0,1
20051114\337.eml,0,5,0,1,0,2,0,2,0,0,2,1,1,2,0,24.67,0,1
20051114\338.eml,0,5,0,1,0,2,0,2,0,0,2,1,1,2,0,24.67,0,1
20051114\339.eml,0,5,0,1,0,2,0,2,0,0,2,1,1,2,0,24.67,0,1
20051114\34.eml,1,9,0,0,0,0,0,1,0,0,2,0,0,0,0,12.32,0,1
20051114\340.eml,0,5,0,1,0,2,0,2,0,0,2,1,1,2,0,24.67,0,1
20051114\341.eml,0,5,0,1,0,2,0,2,0,0,2,1,1,2,0,24.67,0,1
20051114\342.eml,0,5,0,1,0,2,0,2,0,0,2,1,1,2,0,24.67,0,1
20051114\343.eml,0,5,0,1,0,2,0,2,0,0,2,1,1,2,0,24.67,0,1
20051114\344.eml,0,5,0,1,0,2,0,2,0,0,2,1,1,2,0,24.67,0,1
20051114\345.eml,0,5,0,2,1,0,0,5,0,0,2,1,0,1,0,23.01,0,1
20051114\346.eml,1,7,0,1,0,2,0,1,3,0,4,2,0,1,0,21.55,3,1
20051114\347.eml,1,4,0,1,0,0,0,6,0,0,3,1,1,1,0,18.79,0,1
20051114\348.eml,0,5,0,0,0,3,1,2,0,0,1,2,0,1,0,22.45,1,1
20051114\349.eml,8,10,0,0,2,0,0,5,0,0,2,3,0,0,0,22.14,0,1
20051114\35.eml,1,9,0,0,0,0,0,1,0,0,2,0,0,0,0,10.78,0,1
20051114\350.eml,8,10,0,0,2,0,0,5,0,0,2,3,0,0,0,22.14,0,1
20051114\351.eml,8,10,0,0,2,0,0,5,0,0,2,3,0,0,0,22.14,0,1
20051114\352.eml,8,10,0,0,2,0,0,5,0,0,2,3,0,0,0,22.14,0,1
20051114\353.eml,8,10,0,0,2,0,0,5,0,0,2,3,0,0,0,21.97,0,1
20051114\354.eml,1,4,0,1,0,0,0,6,0,0,3,1,1,1,0,18.79,0,1
20051114\355.eml,1,4,0,1,0,0,0,6,0,0,3,1,1,1,0,18.67,0,1
20051114\356.eml,8,10,0,0,2,0,0,5,0,0,2,3,0,0,0,22.14,0,1
20051114\357.eml,1,4,0,1,0,0,0,6,0,0,3,1,1,1,0,18.67,0,1
20051114\358.eml,8,10,0,0,2,0,0,5,0,0,2,3,0,0,0,22.14,0,1
20051114\359.eml,8,10,0,0,2,0,0,5,0,0,2,3,0,0,0,22.14,0,1
20051114\36.eml,1,9,0,0,0,0,0,1,0,0,2,0,0,0,0,11.56,0,1
20051114\360.eml,1,9,0,2,0,1,0,2,1,3,5,1,0,8,0,18.86,0,1
20051114\361.eml,0,5,0,2,1,0,0,5,0,0,2,1,0,1,0,23.42,0,1
20051114\362.eml,0,5,0,2,1,0,0,5,0,0,2,1,0,1,0,23.42,0,1
20051114\363.eml,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.59,0,1
20051114\364.eml,0,2,0,1,0,0,0,1,0,0,1,1,0,0,0,23.21,0,1
20051114\365.eml,0,0,0,2,0,0,0,2,3,2,2,0,4,0,0,22.6,0,1
20051114\366.eml,0,2,0,1,0,0,0,7,0,0,2,0,0,4,0,23.89,0,1
20051114\367.eml,0,5,0,0,0,0,0,6,0,0,1,0,0,2,0,13.58,1,1
20051114\368.eml,0,5,0,2,1,0,0,5,0,0,2,1,0,1,0,23.42,0,1
20051114\369.eml,7,21,0,0,0,0,0,3,1,0,4,0,1,1,0,18.81,0,1
20051114\37.eml,1,9,0,0,0,0,0,1,0,0,2,0,0,0,0,13.27,0,1
20051114\370.eml,7,21,0,0,0,0,0,3,1,0,4,0,1,1,0,18.81,0,1
20051114\371.eml,0,2,0,1,0,1,0,0,0,1,2,0,0,0,2,12.68,0,1
20051114\372.eml,0,2,0,1,0,1,0,0,0,1,2,0,0,0,2,12.86,0,1
20051114\373.eml,0,3,0,0,0,0,1,4,0,0,4,3,0,1,0,21.43,0,1
