File,Access,Account,Alert,Click,Confidential,Fradulent,Indefinite,Information,Notification,Password,Please,Provide,Request,Update,Upgrade,Verify,Verb %,Noun %,Adjective %,Adverb %,Result
phishing_set_1\115.eml,0,5,0,1,0,0,0,2,0,0,2,0,0,7,0,0,20.0,56.25,17.5,5.0,1
phishing_set_1\116.eml,1,9,1,2,0,0,0,6,0,0,3,1,0,0,0,0,17.89,58.54,18.7,3.25,1
phishing_set_1\117.eml,0,2,0,1,0,0,0,1,0,0,1,1,0,0,0,0,22.43,55.61,19.16,1.87,1
phishing_set_1\118.eml,1,7,0,1,0,0,1,4,0,0,3,2,0,4,0,0,18.64,55.08,17.8,3.39,1
phishing_set_1\119.eml,6,9,0,1,0,0,0,3,2,0,3,0,0,0,0,0,16.67,64.04,13.16,1.75,1
phishing_set_1\12.eml,1,6,0,2,1,1,0,2,1,4,2,1,1,1,0,0,21.32,46.32,22.79,6.62,1
phishing_set_1\120.eml,3,9,0,0,0,0,0,3,0,0,2,0,1,0,0,1,19.42,58.25,14.56,3.88,1
phishing_set_1\121.eml,1,6,4,0,0,2,0,2,1,0,4,0,2,0,0,3,21.62,60.81,13.51,2.7,1
phishing_set_1\122.eml,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,19.05,61.9,19.05,0.0,1
phishing_set_1\123.eml,0,8,0,1,0,0,0,2,0,0,2,1,2,0,0,2,17.2,57.32,17.83,3.82,1
phishing_set_1\124.eml,0,2,0,1,0,0,0,1,0,0,1,1,0,0,0,0,22.75,54.03,19.91,2.37,1
phishing_set_1\125.eml,2,2,0,2,0,0,0,1,0,0,1,1,0,1,0,2,20.0,50.67,21.33,4.0,1
phishing_set_1\126.eml,4,11,0,0,0,0,0,1,0,0,1,2,0,0,0,0,20.33,56.91,17.89,3.25,1
phishing_set_1\127.eml,5,14,0,1,0,0,0,3,0,0,2,0,0,0,0,0,20.41,49.66,22.45,3.4,1
phishing_set_1\128.eml,1,6,3,0,0,2,0,2,1,0,2,0,2,0,0,3,24.03,58.91,12.4,3.1,1
phishing_set_1\129.eml,0,9,0,1,0,0,0,3,0,0,2,1,2,0,0,2,18.47,56.69,17.2,3.82,1
phishing_set_1\13.eml,4,15,0,2,0,0,0,1,0,0,3,1,0,1,0,2,15.32,57.66,19.82,3.15,1
phishing_set_1\130.eml,1,3,0,1,0,0,0,5,0,0,1,1,0,2,0,0,16.55,57.24,18.62,4.14,1
phishing_set_1\131.eml,1,7,0,1,0,0,1,4,0,0,3,2,0,4,0,0,19.47,56.64,15.04,3.54,1
phishing_set_1\132.eml,7,18,0,1,0,0,0,1,0,0,3,0,0,3,0,0,20.45,52.27,21.02,3.98,1
phishing_set_1\133.eml,0,3,0,1,0,0,0,2,0,0,0,0,0,4,0,1,18.42,55.26,18.42,3.95,1
phishing_set_1\134.eml,1,3,0,1,0,0,0,5,0,0,1,1,0,2,0,0,16.44,57.53,18.49,4.11,1
phishing_set_1\135.eml,0,3,0,1,0,0,0,4,0,0,0,0,0,4,0,1,23.46,48.15,18.52,6.17,1
phishing_set_1\136.eml,1,6,4,0,0,2,0,2,1,0,4,0,2,0,0,3,21.48,61.07,13.42,2.68,1
phishing_set_1\137.eml,5,16,0,1,0,1,0,3,1,4,2,1,0,2,0,1,19.79,51.34,24.06,4.28,1
phishing_set_1\138.eml,5,14,0,1,0,0,0,3,0,0,2,0,0,0,0,0,20.41,48.98,23.13,3.4,1
phishing_set_1\139.eml,1,5,0,1,0,0,0,1,0,0,2,1,2,0,0,1,14.41,62.71,14.41,5.08,1
phishing_set_1\14.eml,1,6,0,3,0,0,0,4,1,0,1,1,1,0,0,0,20.94,56.54,14.14,3.66,1
phishing_set_1\140.eml,1,5,0,1,0,0,0,1,0,0,2,1,2,0,0,1,14.41,62.71,14.41,5.08,1
phishing_set_1\141.eml,1,5,0,1,0,0,0,1,0,0,2,1,2,0,0,1,14.41,62.71,14.41,5.08,1
phishing_set_1\142.eml,5,14,0,1,0,0,0,3,0,0,2,0,0,0,0,0,20.55,48.63,23.29,3.42,1
phishing_set_1\143.eml,5,14,0,1,0,0,0,3,0,0,2,0,0,0,0,0,20.55,48.63,23.29,3.42,1
phishing_set_1\144.eml,5,14,0,1,0,0,0,3,0,0,2,0,0,0,0,0,20.55,48.63,23.29,3.42,1
phishing_set_1\145.eml,1,5,0,1,0,0,0,1,0,0,2,1,2,0,0,1,14.41,62.71,14.41,5.08,1
phishing_set_1\146.eml,0,1,0,1,0,0,0,5,0,0,0,0,0,1,0,0,23.94,50.7,18.31,2.82,1
phishing_set_1\147.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.38,75.53,14.89,0.0,1
phishing_set_1\148.eml,1,10,0,1,0,0,0,1,0,0,2,0,2,0,0,1,18.46,58.46,16.92,3.08,1
phishing_set_1\15.eml,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20.0,51.11,22.22,2.22,1
phishing_set_1\151.eml,2,9,0,1,0,1,1,3,0,0,1,0,1,0,0,0,17.87,57.41,19.77,1.52,1
phishing_set_1\153.eml,1,5,0,1,0,0,0,1,0,0,2,1,1,0,0,1,13.91,60.87,16.52,5.22,1
phishing_set_1\154.eml,0,0,0,2,0,0,0,2,4,2,2,0,4,0,0,0,22.88,54.55,17.55,1.88,1
phishing_set_1\155.eml,0,4,0,1,0,0,1,2,0,0,3,2,0,6,0,0,24.41,48.03,19.69,3.94,1
phishing_set_1\156.eml,6,14,0,3,0,0,0,3,0,0,4,1,0,1,0,1,17.61,58.52,17.61,3.98,1
phishing_set_1\157.eml,1,12,0,1,0,0,0,2,0,1,2,1,2,0,0,0,17.47,59.64,13.25,5.42,1
phishing_set_1\158.eml,5,16,0,1,0,1,0,3,1,4,2,1,0,2,0,1,19.68,51.6,23.94,4.26,1
phishing_set_1\159.eml,0,4,0,1,0,0,0,2,1,1,1,0,0,3,0,0,19.61,54.25,18.95,4.58,1
phishing_set_1\16.eml,1,6,4,0,0,2,0,2,1,0,4,0,2,0,0,3,21.38,60.69,13.79,2.76,1
phishing_set_1\160.eml,0,6,0,3,0,0,0,3,1,1,1,1,3,0,0,0,21.28,56.91,14.89,2.66,1
phishing_set_1\161.eml,1,10,0,1,0,0,0,1,0,0,2,0,2,0,0,1,18.6,58.14,17.05,3.1,1
phishing_set_1\162.eml,0,4,0,0,0,1,0,0,1,1,2,0,0,0,0,0,24.32,50.0,14.86,8.11,1
phishing_set_1\163.eml,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,20.59,55.88,19.12,1.47,1
phishing_set_1\164.eml,0,6,0,0,0,0,0,3,0,1,1,0,0,2,0,1,22.86,51.43,17.14,4.76,1
phishing_set_1\165.eml,0,6,0,0,0,0,0,3,0,1,1,0,0,2,0,1,22.86,51.43,17.14,4.76,1
phishing_set_1\166.eml,0,4,0,1,0,0,1,8,0,0,3,4,1,0,0,0,24.59,55.74,17.21,1.64,1
phishing_set_1\167.eml,5,14,0,1,0,0,0,3,0,0,2,0,0,0,0,0,20.41,48.98,23.13,3.4,1
phishing_set_1\168.eml,0,7,0,1,0,0,1,4,0,0,4,2,0,0,0,0,23.73,50.0,16.95,3.39,1
phishing_set_1\169.eml,0,6,0,1,0,0,0,1,1,1,0,0,1,0,0,0,17.24,50.57,17.24,6.9,1
phishing_set_1\17.eml,0,5,0,1,0,0,0,4,3,0,3,0,1,1,0,0,25.37,46.34,21.46,5.85,1
phishing_set_1\170.eml,8,18,0,2,0,1,0,2,0,2,3,1,0,0,0,0,18.78,52.49,23.2,3.87,1
phishing_set_1\171.eml,0,1,0,2,0,0,0,1,0,0,2,0,0,0,0,0,19.61,58.82,16.67,2.94,1
phishing_set_1\172.eml,0,3,0,0,0,1,0,0,1,1,2,0,0,0,0,0,21.43,54.29,15.71,5.71,1
phishing_set_1\173.eml,0,1,0,2,0,0,0,1,0,0,2,0,0,0,0,0,19.61,58.82,16.67,2.94,1
phishing_set_1\174.eml,1,6,0,2,0,1,0,7,0,4,3,1,0,5,0,0,15.94,57.25,21.74,3.62,1
phishing_set_1\175.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,77.6,12.5,1.56,1
phishing_set_1\176.eml,3,0,0,0,0,0,0,7,0,0,1,1,0,1,0,0,19.63,57.94,14.02,2.8,1
phishing_set_1\177.eml,6,17,0,2,0,1,0,3,1,4,3,1,0,2,0,0,20.31,48.44,23.96,4.17,1
phishing_set_1\178.eml,6,17,0,2,0,1,0,3,1,4,3,1,0,2,0,0,20.31,48.44,23.96,4.17,1
phishing_set_1\179.eml,1,6,0,2,0,1,0,6,0,4,3,1,0,4,0,0,16.79,56.93,20.44,4.38,1
phishing_set_1\18.eml,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,19.67,46.72,20.49,6.56,1
phishing_set_1\180.eml,8,12,0,0,0,0,0,2,0,0,2,1,0,0,0,0,22.22,54.76,15.87,4.76,1
phishing_set_1\181.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,0,20.34,55.93,15.25,5.08,1
phishing_set_1\182.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,0,20.34,55.93,15.25,5.08,1
phishing_set_1\183.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,0,20.34,55.93,15.25,5.08,1
phishing_set_1\184.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,0,20.34,55.93,15.25,5.08,1
phishing_set_1\185.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,0,20.34,55.93,15.25,5.08,1
phishing_set_1\186.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,0,20.34,55.93,15.25,5.08,1
phishing_set_1\187.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,0,20.34,55.93,15.25,5.08,1
phishing_set_1\188.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,0,20.34,55.93,15.25,5.08,1
phishing_set_1\189.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,0,20.34,55.93,15.25,5.08,1
phishing_set_1\19.eml,0,2,0,1,0,0,0,7,0,0,2,0,0,4,0,0,24.55,46.36,20.91,6.36,1
phishing_set_1\190.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,0,20.34,55.93,15.25,5.08,1
phishing_set_1\191.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,0,20.34,55.93,15.25,5.08,1
phishing_set_1\192.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,0,20.34,55.93,15.25,5.08,1
phishing_set_1\193.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,0,20.34,55.93,15.25,5.08,1
phishing_set_1\194.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,0,20.34,55.93,15.25,5.08,1
phishing_set_1\195.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,0,20.34,55.93,15.25,5.08,1
phishing_set_1\196.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,0,20.34,55.93,15.25,5.08,1
phishing_set_1\197.eml,0,4,0,1,0,1,2,1,0,0,0,0,1,0,0,0,20.34,55.93,15.25,5.08,1
phishing_set_1\198.eml,0,7,0,1,0,0,1,3,0,0,3,2,0,0,0,0,22.88,50.85,17.8,2.54,1
phishing_set_1\199.eml,2,2,0,0,0,1,0,0,0,2,2,0,0,0,0,0,20.69,45.98,21.84,6.9,1
phishing_set_1\2.eml,0,2,0,1,0,0,0,2,0,0,0,0,1,0,0,0,22.5,52.5,20.0,3.75,1
phishing_set_1\20.eml,0,3,0,1,0,1,0,1,0,2,4,0,0,5,0,0,18.56,56.7,18.56,5.15,1
phishing_set_1\200.eml,0,4,0,0,0,0,1,2,0,0,2,2,0,0,0,0,21.15,48.08,17.31,8.65,1
phishing_set_1\201.eml,4,16,0,2,0,0,0,1,0,0,2,0,0,0,0,1,18.71,53.24,22.3,3.6,1
phishing_set_1\202.eml,1,6,0,2,0,1,0,6,0,4,3,1,0,4,0,0,16.67,57.25,21.01,3.62,1
phishing_set_1\203.eml,5,14,0,1,0,0,0,3,0,0,2,0,0,0,0,0,20.55,48.63,23.29,3.42,1
phishing_set_1\204.eml,1,7,0,2,1,1,0,2,1,4,2,1,1,1,0,0,22.63,45.26,21.9,7.3,1
phishing_set_1\205.eml,1,6,0,2,0,1,0,6,0,4,3,1,0,4,0,0,16.79,56.93,20.44,4.38,1
phishing_set_1\207.eml,1,6,0,2,1,1,0,2,1,4,2,1,1,1,0,0,20.86,46.76,23.02,6.47,1
phishing_set_1\208.eml,1,6,0,1,0,2,0,1,1,0,3,0,0,0,0,3,23.26,58.14,15.12,2.33,1
phishing_set_1\209.eml,1,6,0,2,1,1,0,2,1,4,2,1,1,1,0,0,21.01,46.38,23.19,6.52,1
phishing_set_1\21.eml,4,15,0,1,0,0,0,1,0,0,2,0,0,0,0,1,20.9,52.99,19.4,3.73,1
phishing_set_1\210.eml,2,0,0,1,3,1,0,10,0,0,4,4,0,0,0,0,16.41,59.38,16.41,5.08,1
phishing_set_1\211.eml,2,0,0,1,3,1,0,10,0,0,4,4,0,0,0,0,16.41,59.38,16.41,5.08,1
phishing_set_1\212.eml,0,2,0,1,0,0,0,7,0,0,2,0,0,4,0,0,24.11,47.32,20.54,6.25,1
phishing_set_1\213.eml,0,5,0,1,0,2,0,2,0,0,2,1,1,2,0,0,26.03,54.11,17.81,1.37,1
phishing_set_1\214.eml,0,5,0,1,0,2,0,2,0,0,2,1,1,2,0,0,26.03,54.11,17.81,1.37,1
phishing_set_1\215.eml,6,8,0,0,0,0,0,1,0,0,2,0,0,0,0,0,18.18,55.56,23.23,2.02,1
phishing_set_1\217.eml,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.81,64.19,21.62,2.03,1
phishing_set_1\219.eml,1,5,0,3,0,0,0,3,2,0,1,0,0,3,0,1,23.26,53.49,16.28,3.1,1
phishing_set_1\22.eml,4,14,0,2,0,0,0,1,0,0,3,1,0,1,0,2,14.35,57.81,20.68,2.95,1
phishing_set_1\220.eml,1,6,0,2,0,0,1,3,3,0,4,2,0,1,0,0,19.62,54.72,17.36,2.64,1
phishing_set_1\221.eml,0,3,0,1,0,1,0,3,0,3,3,1,0,5,1,0,20.97,51.61,21.77,4.84,1
phishing_set_1\222.eml,1,7,0,2,0,1,0,7,1,4,3,1,0,6,0,0,16.46,55.7,22.15,4.43,1
phishing_set_1\223.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,1
phishing_set_1\224.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,1
phishing_set_1\225.eml,3,6,0,1,0,0,0,0,0,0,3,1,2,0,0,1,15.79,57.89,19.08,4.61,1
phishing_set_1\226.eml,0,2,0,1,0,0,0,1,1,2,1,0,0,1,0,0,18.11,51.18,23.62,4.72,1
phishing_set_1\227.eml,1,5,0,3,0,0,0,3,2,0,1,0,0,3,0,1,23.08,53.85,16.15,3.08,1
phishing_set_1\229.eml,0,3,0,1,0,1,0,3,0,3,3,1,0,5,1,0,20.0,52.0,22.4,4.8,1
phishing_set_1\23.eml,1,6,4,0,0,2,0,2,1,0,4,0,2,0,0,3,21.62,60.81,13.51,2.7,1
phishing_set_1\230.eml,8,10,0,0,2,0,0,5,0,0,2,3,0,0,0,0,21.97,51.52,18.18,4.55,1
phishing_set_1\231.eml,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,25.58,61.63,9.3,1.16,1
phishing_set_1\232.eml,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,23.08,57.69,17.31,1.92,1
phishing_set_1\233.eml,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,23.38,62.34,11.69,1.3,1
phishing_set_1\234.eml,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,23.08,57.69,17.31,1.92,1
phishing_set_1\235.eml,0,11,0,3,0,0,0,3,1,0,2,1,3,1,0,4,19.91,54.98,16.02,3.9,1
phishing_set_1\236.eml,0,4,0,1,0,0,1,2,0,0,3,2,0,6,0,0,24.41,48.03,19.69,3.94,1
phishing_set_1\237.eml,0,0,1,2,0,0,0,2,3,2,2,0,4,0,0,0,24.29,53.21,18.57,2.14,1
phishing_set_1\238.eml,0,5,0,0,0,3,0,2,1,0,2,0,0,1,0,2,23.3,51.46,19.42,3.88,1
phishing_set_1\239.eml,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,16.67,59.52,19.05,4.76,1
phishing_set_1\24.eml,0,5,0,1,0,0,0,4,3,0,3,0,1,1,0,0,25.6,46.38,20.77,6.28,1
phishing_set_1\240.eml,1,8,0,0,0,0,0,1,0,0,2,0,0,0,0,0,11.35,65.41,17.84,1.62,1
phishing_set_1\241.eml,0,5,0,0,0,0,0,2,0,0,2,0,0,5,0,0,22.5,55.0,17.5,3.75,1
phishing_set_1\242.eml,0,4,2,0,0,1,0,5,1,0,3,0,0,1,0,0,21.05,54.61,18.42,3.95,1
phishing_set_1\243.eml,1,9,0,1,0,0,0,2,0,0,2,1,2,0,0,1,16.06,55.47,17.52,7.3,1
phishing_set_1\244.eml,6,8,0,0,2,0,0,5,0,0,2,3,0,0,0,0,23.62,48.03,21.26,3.15,1
phishing_set_1\245.eml,0,4,0,0,0,1,0,0,1,1,2,0,0,0,0,0,25.68,48.65,14.86,8.11,1
phishing_set_1\246.eml,0,8,0,4,0,0,1,5,1,1,4,2,1,1,0,0,22.75,50.79,16.93,4.23,1
phishing_set_1\247.eml,0,2,0,1,0,0,0,7,0,0,2,0,0,4,0,0,24.11,47.32,20.54,6.25,1
phishing_set_1\248.eml,0,4,0,1,0,0,1,2,0,0,3,2,0,6,0,0,24.22,48.44,19.53,3.91,1
phishing_set_1\249.eml,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.93,65.48,21.43,0.0,1
phishing_set_1\25.eml,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,19.2,48.0,20.0,6.4,1
phishing_set_1\250.eml,5,14,0,1,0,0,0,3,0,0,2,0,0,0,0,0,20.55,48.63,23.29,3.42,1
phishing_set_1\252.eml,0,6,1,1,0,0,1,2,0,0,3,2,0,8,0,0,19.5,52.0,21.0,4.0,1
phishing_set_1\253.eml,1,4,0,1,0,0,0,2,1,0,2,0,0,1,0,0,21.92,52.05,20.55,2.74,1
phishing_set_1\254.eml,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.22,78.67,12.89,1.33,1
phishing_set_1\255.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,1
phishing_set_1\256.eml,0,3,0,1,0,0,0,4,0,0,0,0,0,4,0,1,23.46,48.15,18.52,6.17,1
phishing_set_1\257.eml,1,6,0,2,0,1,0,2,0,3,2,1,1,1,0,0,19.57,45.65,23.91,6.52,1
phishing_set_1\258.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,96.92,2.05,0.51,1
phishing_set_1\259.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,1
phishing_set_1\26.eml,0,2,0,1,0,0,0,7,0,0,2,0,0,4,0,0,23.89,47.79,20.35,6.19,1
phishing_set_1\260.eml,1,3,0,1,0,0,0,5,0,0,2,1,1,2,0,0,15.13,63.87,15.13,3.36,1
phishing_set_1\261.eml,6,16,0,2,0,1,0,2,1,2,3,1,0,1,0,0,20.32,49.2,24.06,4.28,1
phishing_set_1\262.eml,0,2,0,0,0,0,0,7,0,0,4,0,0,2,0,2,16.67,52.38,23.81,4.76,1
phishing_set_1\263.eml,4,16,0,2,0,0,0,1,0,0,2,0,0,0,0,1,20.29,52.17,21.74,3.62,1
phishing_set_1\264.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0,1
phishing_set_1\265.eml,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.25,78.57,12.95,1.34,1
phishing_set_1\266.eml,5,17,0,0,0,1,0,2,0,4,3,2,1,1,0,1,19.56,48.44,24.89,4.89,1
phishing_set_1\267.eml,1,4,1,0,0,0,0,1,0,1,2,1,2,0,0,0,21.77,56.46,15.65,3.4,1
phishing_set_1\268.eml,0,2,0,1,0,0,0,7,0,0,2,0,0,4,0,0,23.89,47.79,20.35,6.19,1
phishing_set_1\269.eml,0,3,0,1,0,1,1,1,1,1,1,0,0,1,0,0,23.33,50.0,18.33,5.0,1
phishing_set_1\27.eml,5,15,0,2,0,0,0,1,0,0,3,1,0,1,0,2,14.83,59.32,18.64,2.97,1
phishing_set_1\270.eml,7,12,0,0,0,0,0,1,0,0,2,0,0,0,0,0,21.62,53.15,21.62,2.7,1
phishing_set_1\271.eml,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18.37,51.02,24.49,6.12,1
phishing_set_1\272.eml,0,1,0,0,0,0,1,4,0,0,2,2,0,1,0,0,20.0,54.74,15.79,5.26,1
phishing_set_1\273.eml,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18.75,50.0,25.0,6.25,1
phishing_set_1\274.eml,0,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,9.76,67.07,17.07,2.44,1
phishing_set_1\275.eml,0,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,9.88,66.67,17.28,2.47,1
phishing_set_1\276.eml,2,2,0,0,0,1,0,0,0,2,2,0,0,0,0,0,20.69,45.98,21.84,6.9,1
phishing_set_1\277.eml,1,7,0,2,0,0,0,9,1,2,2,0,0,4,0,0,18.52,60.49,14.81,4.32,1
phishing_set_1\278.eml,5,14,0,1,0,0,0,3,0,0,2,0,0,0,0,0,20.55,48.63,23.29,3.42,1
phishing_set_1\279.eml,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,17.72,53.16,25.32,1.27,1
phishing_set_1\28.eml,4,15,0,1,0,0,0,1,0,0,2,0,0,0,0,1,20.74,53.33,19.26,3.7,1
phishing_set_1\280.eml,1,7,0,2,0,0,0,9,1,2,2,0,0,4,0,0,18.52,60.49,14.81,4.32,1
phishing_set_1\281.eml,2,2,0,0,0,1,0,0,0,2,2,0,0,0,0,0,20.69,45.98,21.84,6.9,1
phishing_set_1\282.eml,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,17.72,53.16,25.32,1.27,1
phishing_set_1\284.eml,0,1,0,0,0,0,1,2,0,0,2,2,0,1,0,0,18.75,56.25,15.62,5.21,1
phishing_set_1\285.eml,1,11,0,1,0,0,0,2,0,1,2,1,2,0,0,0,18.4,57.67,14.72,5.52,1
phishing_set_1\286.eml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29,74.41,19.41,0.29,1
phishing_set_1\287.eml,0,2,0,0,0,0,0,7,0,0,4,0,0,2,0,2,16.67,52.38,23.81,4.76,1
phishing_set_1\288.eml,0,1,0,0,0,0,1,2,0,0,2,2,0,1,0,0,18.95,55.79,15.79,5.26,1
phishing_set_1\289.eml,0,2,0,0,0,0,0,7,0,0,4,0,0,2,0,2,16.87,51.81,24.1,4.82,1
phishing_set_1\29.eml,0,5,0,1,0,1,2,1,0,0,0,0,1,0,0,0,13.33,65.56,16.67,3.33,1
phishing_set_1\290.eml,0,1,0,0,0,0,1,2,0,0,2,2,0,1,0,0,18.75,56.25,15.62,5.21,1
phishing_set_1\291.eml,0,1,0,0,0,0,1,2,0,0,2,2,0,1,0,0,18.75,56.25,15.62,5.21,1
phishing_set_1\292.eml,1,6,0,2,1,1,0,2,1,4,2,1,1,1,0,0,21.48,47.41,21.48,6.67,1
phishing_set_1\293.eml,0,5,0,0,0,3,1,2,0,0,1,2,0,1,0,1,22.45,46.94,17.35,7.14,1
phishing_set_1\294.eml,1,5,0,3,0,0,0,3,2,0,1,0,0,3,0,1,23.48,52.27,15.91,3.79,1
phishing_set_1\295.eml,1,12,0,0,0,1,0,2,0,6,5,0,1,0,0,0,17.7,55.98,19.14,4.78,1
phishing_set_1\296.eml,5,14,0,2,0,1,0,4,1,4,4,1,0,3,0,0,18.39,46.55,26.44,6.32,1
phishing_set_1\297.eml,0,2,0,0,0,0,0,7,0,0,4,0,0,2,0,2,16.67,52.38,23.81,4.76,1
phishing_set_1\298.eml,0,2,0,0,0,0,0,7,0,0,4,0,0,2,0,2,16.67,52.38,23.81,4.76,1
phishing_set_1\299.eml,1,7,0,2,0,0,1,13,0,1,3,3,1,1,0,0,21.47,53.8,16.03,6.52,1
phishing_set_1\30.eml,0,2,0,0,0,0,0,7,0,0,2,0,0,4,0,0,23.42,48.65,19.82,6.31,1
phishing_set_1\300.eml,0,2,0,2,0,0,0,1,1,0,1,0,2,0,0,0,25.25,54.55,16.16,1.01,1
phishing_set_1\301.eml,1,3,0,1,1,0,0,7,0,0,1,0,0,3,0,0,19.85,57.35,16.91,5.15,1
phishing_set_1\302.eml,3,8,0,0,0,0,0,2,0,0,2,0,0,0,0,1,19.15,55.32,19.15,1.06,1
phishing_set_1\303.eml,0,5,0,0,0,0,0,6,0,0,1,0,0,2,0,1,13.41,62.2,15.85,6.1,1
phishing_set_1\304.eml,0,2,0,0,0,0,0,6,0,0,4,0,0,2,0,1,15.66,50.6,26.51,6.02,1
